"cell","post_prob","p_norm","type"
"cell151",0.455893155258765,0.258,"C"
"cell152",0.676432943795214,0.066,"F"
"cell153",0.105175292153589,0.824,"B"
"cell154",0.0258764607679466,0.894,"A"
"cell155",0.318030050083472,0.474,"A"
"cell156",0.606093489148581,0.098,"F"
"cell157",0.172710072342794,0.734,"A"
"cell158",0.0801335559265442,0.836,"C"
"cell159",0.62771285475793,0.086,"B"
"cell160",0.722654424040067,0.042,"B"
"cell161",0.104340567612688,0.824,"A"
"cell162",0.462654424040067,0.248,"C"
"cell163",0.446521981079577,0.274,"A"
"cell164",0.651190873678353,0.078,"B"
"cell165",0.258764607679466,0.566,"F"
"cell166",0.0409015025041736,0.884,"A"
"cell167",0.0559265442404007,0.864,"B"
"cell168",0.469949916527546,0.234,"B"
"cell169",0.52754590984975,0.17,"D"
"cell170",0.00918196994991653,0.904,"F"
"cell171",0.439059543683918,0.282,"D"
"cell172",0.338720089037284,0.43,"B"
"cell173",0.0217028380634391,0.898,"A"
"cell174",0.0434056761268781,0.884,"A"
"cell175",0.0300500834724541,0.892,"D"
"cell176",0.37164162493044,0.378,"B"
"cell177",0.532142459654981,0.166,"B"
"cell178",0.00584307178631052,0.912,"C"
"cell179",0.71172509738453,0.046,"B"
"cell180",0.773272120200334,0.026,"E"
"cell181",0.512520868113522,0.182,"A"
"cell182",0.47245409015025,0.232,"E"
"cell183",0.367278797996661,0.386,"A"
"cell184",0.173071786310518,0.734,"A"
"cell185",0.427378964941569,0.292,"E"
"cell186",0,0.918,"D"
"cell187",0.0258764607679466,0.894,"E"
"cell188",0.592893711741792,0.11,"C"
"cell189",0.36692264885921,0.386,"A"
"cell190",0.132721202003339,0.798,"A"
"cell191",0.32220367278798,0.464,"B"
"cell192",0.53638286032276,0.164,"A"
"cell193",0.529866444073456,0.168,"D"
"cell194",0.0901502504173623,0.834,"B"
"cell195",0.1590428491931,0.764,"C"
"cell196",0,0.918,"A"
"cell197",0.680912632164719,0.062,"E"
"cell198",0.668803561491375,0.068,"E"
"cell199",0.464440734557596,0.242,"B"
"cell200",0.0525876460767947,0.87,"B"
"cell201",0.82835837506956,0.012,"B"
"cell202",0.356560934891486,0.398,"C"
"cell203",0.403466889259878,0.322,"D"
"cell204",0.0208681135225376,0.898,"A"
"cell205",0.54291040623261,0.156,"B"
"cell206",0.15025041736227,0.774,"A"
"cell207",0.25542570951586,0.574,"B"
"cell208",0.109348914858097,0.822,"C"
"cell209",0.132721202003339,0.798,"A"
"cell210",0.0642737896494157,0.854,"A"
"cell211",0.378174735670562,0.364,"E"
"cell212",0.0993322203672788,0.826,"A"
"cell213",0.567367835281024,0.132,"A"
"cell214",0.17195325542571,0.734,"D"
"cell215",0.619220923761825,0.09,"A"
"cell216",0.389565943238731,0.346,"A"
"cell217",0.35047857540345,0.41,"B"
"cell218",0.167779632721202,0.742,"A"
"cell219",0.0701168614357262,0.846,"C"
"cell220",0.379799666110184,0.364,"A"
"cell221",0.0250417362270451,0.894,"A"
"cell222",0.0158597662771285,0.898,"C"
"cell223",0.497495826377296,0.202,"B"
"cell224",0.0868113522537563,0.834,"A"
"cell225",0.330550918196995,0.442,"A"
"cell226",0.231218697829716,0.624,"A"
"cell227",0.779705063995548,0.022,"B"
"cell228",0.109348914858097,0.822,"A"
"cell229",0.432643294379521,0.284,"D"
"cell230",0.0784641068447412,0.84,"A"
"cell231",0.398859209794101,0.336,"D"
"cell232",0,0.918,"A"
"cell233",0.0208681135225376,0.898,"D"
"cell234",0.637729549248748,0.082,"F"
"cell235",0.270450751252087,0.562,"E"
"cell236",0.341914301613801,0.424,"E"
"cell237",0.243739565943239,0.608,"A"
"cell238",0.110183639398998,0.822,"E"
"cell239",0.0592654424040067,0.864,"A"
"cell240",0.0333889816360601,0.892,"B"
"cell241",0.190317195325543,0.704,"B"
"cell242",0.560862548692265,0.138,"A"
"cell243",0.221202003338898,0.638,"A"
"cell244",0.32952142459655,0.444,"C"
"cell245",0.203455759599332,0.676,"D"
"cell246",0.151085141903172,0.772,"F"
"cell247",0.414090150250417,0.308,"C"
"cell248",0.0534223706176962,0.87,"D"
"cell249",0.333889816360601,0.438,"E"
"cell250",0.574824707846411,0.128,"A"
"cell251",0.616104618809126,0.094,"A"
"cell252",0.566627712854758,0.134,"B"
"cell253",0.713572621035058,0.046,"B"
"cell254",0.046126878130217,0.878,"C"
"cell255",0.424040066777963,0.296,"A"
"cell256",0.0726210350584307,0.846,"B"
"cell257",0.544852531997774,0.154,"C"
"cell258",0.647746243739566,0.082,"A"
"cell259",0.257952142459655,0.57,"C"
"cell260",0.00751252086811352,0.906,"A"
"cell261",0.556471897607123,0.144,"B"
"cell262",0.0801335559265442,0.836,"C"
"cell263",0.661736227045075,0.07,"E"
"cell264",0.0292153589315526,0.892,"A"
"cell265",0.0734557595993322,0.844,"A"
"cell266",0.493895381190874,0.208,"E"
"cell267",0.0626043405676127,0.856,"A"
"cell268",0.134390651085142,0.794,"F"
"cell269",0.272954924874791,0.558,"A"
"cell270",0.435236505286589,0.284,"A"
"cell271",0.222871452420701,0.636,"A"
"cell272",0.0517529215358932,0.872,"C"
"cell273",0.379120756816917,0.364,"A"
"cell274",0.706599888703395,0.046,"A"
"cell275",0.208196994991653,0.672,"A"
"cell276",0.428580968280467,0.29,"A"
"cell277",0.459794101279911,0.252,"A"
"cell278",0.368948247078464,0.386,"A"
"cell279",0.44991652754591,0.268,"B"
"cell280",0.00417362270450751,0.916,"C"
"cell281",0.0642737896494157,0.854,"A"
"cell282",0.1669449081803,0.742,"B"
"cell283",0.10016694490818,0.826,"B"
